text,actual,predicted
about back the paezs,1,0
gave grade writing assignment they actually did..without complaining!!,1,0
"chillinnn with friends, works tonight",0,1
"belgian waffless, mmm its friggin sauna class, noa.c",0,1
doesnt matter.,1,0
"working and sleepy. oh, well...is all name hopefully arriving soon iphone.",0,1
have some greek study,0,1
are different but opposites attract finallyy..i happyy.,1,0
"coding department, texting with the dark stud. its getting hard",1,0
angela did get the breadtop yay! but her mum nibbled half she didnt know was from say for the nippys promo,0,1
